PlayerID,Season,Team,Name,Games_Played,Games_Started,Minutes_Played
1,2013/2014,bayern munich,"Mandzukic, Mario",30,21,2019
2,2013/2014,bayern munich,"Muller, Thomas",31,25,2167
3,2013/2014,bayern munich,"Robben, Arjen",28,20,1686
4,2013/2014,bayern munich,"Gotze, Mario",27,20,1822
5,2013/2014,bayern munich,"Pizarro, Claudio",17,6,683
6,2013/2014,bayern munich,"Rib?ry, Franck",22,18,1637
7,2013/2014,bayern munich,"Shaqiri, Xherdan",17,10,782
8,2013/2014,bayern munich,"Schweinsteiger, Bastian",23,22,1831
9,2013/2014,bayern munich,"Alaba, David",28,26,2398
10,2013/2014,bayern munich,"Alc?ntara, Thiago",16,11,999
11,2013/2014,bayern munich,Dante,29,27,2416
12,2013/2014,bayern munich,"Kroos, Toni",29,24,2065
13,2013/2014,bayern munich,"Boateng, Jerome",25,25,2169
14,2013/2014,bayern munich,"Lahm, Philipp",28,25,2336
15,2013/2014,bayern munich,"Van Buyten, Daniel",12,10,923
16,2013/2014,bayern munich,"Contento, Diego",10,6,577
17,2013/2014,bayern munich,"Hojbjerg, Pierre-Emile",7,2,280
18,2013/2014,bayern munich,"Kirchhoff, Jan",9,0,115
19,2013/2014,bayern munich,"Mart?nez, Javi",18,14,1332
20,2013/2014,bayern munich,"Neuer, Manuel",31,31,2745
21,2013/2014,bayern munich,"Raeder, Lukas",2,1,135
22,2013/2014,bayern munich,Rafinha,28,25,2202
23,2013/2014,bayern munich,"Sallahi, Ylli",1,1,51
24,2013/2014,bayern munich,"Starke, Tom",2,2,180
25,2013/2014,bayern munich,"Weiser, Mitchell",3,2,138
26,2014/2015,bayern munich,"Lewandowski, Robert",31,28,2486
27,2014/2015,bayern munich,"Robben, Arjen",21,20,1679
28,2014/2015,bayern munich,"Muller, Thomas",32,28,2373
29,2014/2015,bayern munich,"Gotze, Mario",32,28,2248
30,2014/2015,bayern munich,"Rib?ry, Franck",15,9,958
31,2014/2015,bayern munich,"Schweinsteiger, Bastian",20,15,1362
32,2014/2015,bayern munich,"Alaba, David",19,19,1665
33,2014/2015,bayern munich,"Alonso, Xabi",26,24,1973
34,2014/2015,bayern munich,"Hojbjerg, Pierre-Emile",24,13,1292
35,2014/2015,bayern munich,"Lahm, Philipp",20,17,1408
36,2014/2015,bayern munich,"Rode, Sebastian",23,8,959
37,2014/2015,bayern munich,"Benatia, Mehdi",15,13,1151
38,2014/2015,bayern munich,"Bernat, Juan",31,28,2555
39,2014/2015,bayern munich,"Shaqiri, Xherdan",9,3,337
40,2014/2015,bayern munich,"Weiser, Mitchell",13,8,777
41,2014/2015,bayern munich,"Alc?ntara, Thiago",7,2,281
42,2014/2015,bayern munich,"Badstuber, Holger",10,9,770
43,2014/2015,bayern munich,"Boateng, Jerome",27,25,2139
44,2014/2015,bayern munich,Dante,27,21,1996
45,2014/2015,bayern munich,"Gaudino, Gianluca",8,4,371
46,2014/2015,bayern munich,"Gortler, Lukas",1,0,18
47,2014/2015,bayern munich,"Kurt, Sinan",1,0,45
48,2014/2015,bayern munich,"Mart?nez, Javi",1,1,62
49,2014/2015,bayern munich,"Neuer, Manuel",32,31,2866
50,2014/2015,bayern munich,"Pizarro, Claudio",13,2,320
51,2014/2015,bayern munich,Rafinha,26,24,2143
52,2014/2015,bayern munich,"Reina, Pepe",3,3,193
53,2014/2015,bayern munich,"Strieder, Rico",1,1,90
54,2015/2016,bayern munich,"Lewandowski, Robert",32,29,2654
55,2015/2016,bayern munich,"Muller, Thomas",31,26,2343
56,2015/2016,bayern munich,"Coman, Kingsley",23,20,1688
57,2015/2016,bayern munich,Douglas Costa,27,23,1971
58,2015/2016,bayern munich,"Robben, Arjen",15,14,1101
59,2015/2016,bayern munich,"Vidal, Arturo",30,24,2047
60,2015/2016,bayern munich,"Gotze, Mario",14,11,957
61,2015/2016,bayern munich,"Alc?ntara, Thiago",27,16,1636
62,2015/2016,bayern munich,"Rib?ry, Franck",13,6,681
63,2015/2016,bayern munich,"Alaba, David",30,27,2492
64,2015/2016,bayern munich,"Benatia, Mehdi",14,11,980
65,2015/2016,bayern munich,Dante,24,23,2081
66,2015/2016,bayern munich,"Lahm, Philipp",26,25,2199
67,2015/2016,bayern munich,"Mart?nez, Javi",16,11,1104
68,2015/2016,bayern munich,"Rode, Sebastian",15,3,399
69,2015/2016,bayern munich,"Alonso, Xabi",26,23,1945
70,2015/2016,bayern munich,"Badstuber, Holger",7,5,470
71,2015/2016,bayern munich,"Bernat, Juan",16,13,1148
72,2015/2016,bayern munich,"Boateng, J?rome",19,17,1353
73,2015/2016,bayern munich,"Kimmich, Joshua",23,15,1423
74,2015/2016,bayern munich,"Neuer, Manuel",34,34,3021
75,2015/2016,bayern munich,"Pantovic, Milos",1,0,1
76,2015/2016,bayern munich,Rafinha,25,18,1748
77,2015/2016,bayern munich,"Tasci, Serdar",3,3,220
78,2015/2016,bayern munich,"Ulreich, Sven",1,0,39
79,2016/2017,bayern munich,"Lewandowski, Robert",33,31,2776
80,2016/2017,bayern munich,"Robben, Arjen",26,21,1827
81,2016/2017,bayern munich,"Alc?ntara, Thiago",27,26,2291
82,2016/2017,bayern munich,"Kimmich, Joshua",27,15,1540
83,2016/2017,bayern munich,"Muller, Thomas",29,25,2265
84,2016/2017,bayern munich,"Rib?ry, Franck",22,14,1240
85,2016/2017,bayern munich,"Alaba, David",32,29,2508
86,2016/2017,bayern munich,Douglas Costa,23,14,1373
87,2016/2017,bayern munich,"Vidal, Arturo",27,21,1824
88,2016/2017,bayern munich,"Alonso, Xabi",27,22,1905
89,2016/2017,bayern munich,"Bernat, Juan",18,13,1235
90,2016/2017,bayern munich,"Coman, Kingsley",19,10,915
91,2016/2017,bayern munich,"Hummels, Mats",27,24,2181
92,2016/2017,bayern munich,"Lahm, Philipp",26,24,2089
93,2016/2017,bayern munich,"Mart?nez, Javi",25,25,2135
94,2016/2017,bayern munich,Rafinha,20,10,1022
95,2016/2017,bayern munich,"Badstuber, Holger",11,10,892
96,2016/2017,bayern munich,"Boateng, J?rome",13,10,829
97,2016/2017,bayern munich,"Neuer, Manuel",26,26,2340
98,2016/2017,bayern munich,"Sanches, Renato",17,6,617
99,2016/2017,bayern munich,"Starke, Tom",3,3,270
100,2016/2017,bayern munich,"Ulreich, Sven",5,5,450
101,2017/2018,bayern munich,"Lewandowski, Robert",30,24,2169
102,2017/2018,bayern munich,"Wagner, Sandro",25,18,1594
103,2017/2018,bayern munich,"Muller, Thomas",29,22,1964
104,2017/2018,bayern munich,"Rodr?guez, James",23,19,1625
105,2017/2018,bayern munich,"Tolisso, Corentin",25,17,1502
106,2017/2018,bayern munich,"Vidal, Arturo",22,17,1457
107,2017/2018,bayern munich,"Rib?ry, Franck",20,15,1210
108,2017/2018,bayern munich,"Robben, Arjen",21,19,1517
109,2017/2018,bayern munich,"Coman, Kingsley",21,10,1147
110,2017/2018,bayern munich,"Alaba, David",23,17,1550
111,2017/2018,bayern munich,"Alc?ntara, Thiago",19,12,1243
112,2017/2018,bayern munich,"Sule, Niklas",27,20,1919
113,2017/2018,bayern munich,"Boateng, J?rome",19,19,1644
114,2017/2018,bayern munich,"Dorsch, Niklas",1,1,90
115,2017/2018,bayern munich,"Hummels, Mats",26,25,2213
116,2017/2018,bayern munich,"Kimmich, Joshua",29,26,2333
117,2017/2018,bayern munich,"Mart?nez, Javi",22,18,1612
118,2017/2018,bayern munich,Rafinha,27,19,1843
119,2017/2018,bayern munich,"Rudy, Sebastian",25,16,1509
120,2017/2018,bayern munich,"Bernat, Juan",11,11,892
121,2017/2018,bayern munich,"Evina, Franck",2,2,111
122,2017/2018,bayern munich,"Friedl, Marco",10,6,642
123,2017/2018,bayern munich,"Mai, Lars",2,2,180
124,2017/2018,bayern munich,"Neuer, Manuel",3,3,270
125,2017/2018,bayern munich,"Shabani, Meritan",1,1,56
126,2017/2018,bayern munich,"Starke, Tom",2,2,180
127,2017/2018,bayern munich,"Ulreich, Sven",29,29,2610
128,2017/2018,bayern munich,"Wriedt, Kwasi Okyere",1,0,22
129,2013/2014,m?nchengladbach,Raffael,34,34,2994
130,2013/2014,m?nchengladbach,"Kruse, Max",34,34,3020
131,2013/2014,m?nchengladbach,"Arango, Juan",31,31,2606
132,2013/2014,m?nchengladbach,"Herrmann, Patrick",34,34,2705
133,2013/2014,m?nchengladbach,"Kramer, Christoph",33,30,2655
134,2013/2014,m?nchengladbach,"Wendt, Oscar",18,16,1471
135,2013/2014,m?nchengladbach,"Daems, Filip",15,13,1186
136,2013/2014,m?nchengladbach,"Hrgota, Branimir",30,3,563
137,2013/2014,m?nchengladbach,"Stranzl, Martin",30,30,2672
138,2013/2014,m?nchengladbach,"Dom?nguez, ?lvaro",21,20,1766
139,2013/2014,m?nchengladbach,"Jantschke, Tony",31,31,2745
